"Date(dd-mm-yyyy)";"Time(hh:mm:ss)";"Julian_Day";"AOT_1640";"AOT_1020";"AOT_870";"AOT_675";"AOT_667";"AOT_555";"AOT_551";"AOT_532";"AOT_531";"AOT_500";"AOT_490";"AOT_443";"AOT_440";"AOT_412";"AOT_380";"AOT_340";"Water(cm)";"AOTExt442-T";"AOTExt668-T";"AOTExt871-T";"AOTExt1018-T";"AOTExt442-F";"AOTExt668-F";"AOTExt871-F";"AOTExt1018-F";"AOTExt442-C";"AOTExt668-C";"AOTExt871-C";"AOTExt1018-C";"870-440AngstromParam.[AOTExt]-Total";"SSA442-T";"SSA668-T";"SSA871-T";"SSA1018-T";"AOTAbsp442-T";"AOTAbsp668-T";"AOTAbsp871-T";"AOTAbsp1018-T";"870-440AngstromParam.[AOTAbsp]";"REFR(442)";"REFR(668)";"REFR(871)";"REFR(1018)";"REFI(442)";"REFI(668)";"REFI(871)";"REFI(1018)";"ASYM442-T";"ASYM668-T";"ASYM871-T";"ASYM1018-T";"ASYM442-F";"ASYM668-F";"ASYM871-F";"ASYM1018-F";"ASYM442-C";"ASYM668-C";"ASYM871-C";"ASYM1018-C";"0.050000";"0.065604";"0.086077";"0.112939";"0.148184";"0.194429";"0.255105";"0.334716";"0.439173";"0.576227";"0.756052";"0.991996";"1.301571";"1.707757";"2.240702";"2.939966";"3.857452";"5.061260";"6.640745";"8.713145";"11.432287";"15.000000";"Inflection_Point[um]";"VolCon-T";"EffRad-T";"VolMedianRad-T";"StdDev-T";"VolCon-F";"EffRad-F";"VolMedianRad-F";"StdDev-F";"VolCon-C";"EffRad-C";"VolMedianRad-C";"StdDev-C";"Altitude(BOA)(km)";"Altitude(TOA)(km)";"DownwardFlux(BOA)";"DownwardFlux(TOA)";"UpwardFlux(BOA)";"UpwardFlux(TOA)";"RadiativeForcing(BOA)";"RadiativeForcing(TOA)";"ForcingEfficiency(BOA)";"ForcingEfficiency(TOA)";"DownwardFlux442-T";"DownwardFlux668-T";"DownwardFlux871-T";"DownwardFlux1018-T";"UpwardFlux442-T";"UpwardFlux668-T";"UpwardFlux871-T";"UpwardFlux1018-T";"DiffuseFlux442-T";"DiffuseFlux668-T";"DiffuseFlux871-T";"DiffuseFlux1018-T";"last_processing_date(mm/dd/yyyy)";"alm_type";"solar_zenith_angle_for_1020nm_scan";"sky_error";"sun_error";"alpha440-870";"tau440(measured)";"%sphericity";"if_level2_AOD";"scat_angle_440(>=3.2to6)";"scat_angle_440(>=6to30)";"scat_angle_440(>=30to80)";"scat_angle_440(>=80)";"scat_angle_675(>=3.2to6)";"scat_angle_675(>=6to30)";"scat_angle_675(>=30to80)";"scat_angle_675(>=80)";"scat_angle_870(>=3.2to6)";"scat_angle_870(>=6to30)";"scat_angle_870(>=30to80)";"scat_angle_870(>=80)";"scat_angle_1020(>=3.2to6)";"scat_angle_1020(>=6to30)";"scat_angle_1020(>=30to80)";"scat_angle_1020(>=80)";"albedo_440";"albedo_675";"albedo_870";"albedo-1020";"average_solar_zenith_angle_for_flux_calculation";"DATA_TYPE"
"29:10:2009";"05:00:09";"302.208438";"N/A";"0.179257";"0.184513";"N/A";"0.184615";"0.214697";"N/A";"N/A";"N/A";"N/A";"0.227422";"0.244910";"N/A";"0.258465";"N/A";"N/A";"3.941892";"0.251300";"0.190300";"0.178100";"0.174600";"0.116300";"0.042700";"0.021100";"0.013900";"0.135100";"0.147700";"0.156900";"0.160700";"0.521997";"0.960900";"0.956200";"0.958300";"0.961600";"0.009833";"0.008328";"0.007420";"0.006710";"0.413823";"1.439200";"1.437200";"1.433500";"1.431000";"0.001287";"0.001620";"0.001836";"0.001904";"0.698852";"0.709220";"0.732609";"0.745577";"0.577363";"0.478805";"0.433504";"0.408820";"0.800691";"0.775535";"0.772578";"0.774073";"0.001514";"0.010850";"0.026757";"0.025397";"0.012685";"0.005372";"0.003022";"0.002955";"0.005106";"0.012200";"0.026730";"0.039433";"0.042507";"0.045915";"0.056170";"0.074546";"0.098088";"0.108636";"0.081384";"0.034012";"0.007099";"0.000712";"0.439000";"0.196000";"0.629000";"2.008000";"1.294000";"0.025000";"0.105000";"0.114000";"0.455000";"0.171000";"2.284000";"3.040000";"0.725000";"0.008000";"120.000000";"704.410980";"987.287140";"26.874310";"94.011510";"-33.606160";"-19.713400";"-159.717190";"-93.690230";"1294.462324";"1061.542926";"674.210692";"497.901296";"69.025566";"56.605433";"35.951432";"26.549957";"0.486445";"0.273979";"0.210335";"0.193874";"22/11/2010";"0";"43.891054";"7.942618";"0.005228";"0.440172";"0.244910";"64.735106";"1";"4";"10";"7";"1";"4";"10";"7";"0";"4";"10";"8";"2";"4";"10";"8";"2";"0.029660";"0.033390";"0.050880";"0.049790";"44.304500";"Level_1.5"
"29:10:2009";"06:09:55";"302.256887";"N/A";"0.169545";"0.175501";"N/A";"0.179660";"0.206550";"N/A";"N/A";"N/A";"N/A";"0.219678";"0.238846";"N/A";"0.252024";"N/A";"N/A";"3.947462";"0.241800";"0.192600";"0.178200";"0.172400";"0.115200";"0.053300";"0.030800";"0.021900";"0.126600";"0.139300";"0.147400";"0.150500";"0.458662";"0.987800";"0.989600";"0.991100";"0.992100";"0.002938";"0.002012";"0.001584";"0.001370";"0.910894";"1.529900";"1.523700";"1.526600";"1.527400";"0.000500";"0.000500";"0.000500";"0.000500";"0.692734";"0.686970";"0.691774";"0.696602";"0.629451";"0.571562";"0.532573";"0.506670";"0.748422";"0.730310";"0.724670";"0.724049";"0.000823";"0.004002";"0.009662";"0.012263";"0.009642";"0.006234";"0.004637";"0.005025";"0.007931";"0.014565";"0.024166";"0.033712";"0.043297";"0.055234";"0.065741";"0.062896";"0.043956";"0.022762";"0.009488";"0.003471";"0.001178";"0.000379";"0.439000";"0.120000";"0.656000";"1.443000";"1.072000";"0.015000";"0.129000";"0.148000";"0.553000";"0.105000";"1.641000";"2.013000";"0.636000";"0.008000";"120.000000";"443.596520";"672.106180";"29.102760";"97.857480";"-31.463730";"-24.837690";"-149.152130";"-117.741730";"866.639779";"710.700736";"451.382627";"333.343861";"69.584624";"57.063898";"36.242614";"26.764993";"0.619946";"0.378537";"0.290380";"0.261747";"22/11/2010";"0";"60.387263";"8.512496";"0.006350";"0.466459";"0.238846";"0.936879";"1";"3";"10";"3";"3";"3";"10";"2";"2";"3";"10";"3";"2";"3";"9";"1";"3";"0.057130";"0.060620";"0.078940";"0.077140";"60.842000";"Level_1.5"
"29:10:2009";"23:00:07";"302.958414";"N/A";"0.120531";"0.124612";"N/A";"0.120177";"0.143288";"N/A";"N/A";"N/A";"N/A";"0.149989";"0.160326";"N/A";"0.166201";"N/A";"N/A";"3.535750";"0.167400";"0.129900";"0.118400";"0.114100";"0.083900";"0.038500";"0.021700";"0.015200";"0.083600";"0.091400";"0.096700";"0.098800";"0.519481";"0.973600";"0.962100";"0.949500";"0.949300";"0.004417";"0.004928";"0.005975";"0.005785";"-0.429401";"1.499100";"1.498000";"1.497900";"1.498500";"0.001061";"0.001771";"0.002825";"0.003137";"0.707376";"0.696227";"0.704352";"0.709313";"0.642198";"0.572400";"0.523991";"0.492149";"0.771467";"0.748751";"0.745418";"0.743119";"0.000320";"0.001894";"0.005872";"0.009571";"0.008598";"0.005352";"0.003518";"0.003457";"0.005255";"0.009462";"0.015183";"0.021312";"0.028446";"0.036498";"0.043825";"0.047624";"0.045385";"0.035631";"0.021012";"0.008529";"0.002261";"0.000385";"0.439000";"0.098000";"0.765000";"1.786000";"1.113000";"0.011000";"0.136000";"0.153000";"0.513000";"0.086000";"1.915000";"2.455000";"0.694000";"0.008000";"120.000000";"745.564710";"1017.555970";"27.297530";"88.161880";"-22.973980";"-13.492900";"-159.513100";"-93.684000";"1326.449573";"1087.774541";"690.871003";"510.204854";"68.483383";"56.160808";"35.669040";"26.341412";"0.395871";"0.194353";"0.136788";"0.127879";"22/11/2010";"0";"42.903696";"4.113674";"0.006982";"0.408879";"0.160326";"49.612628";"1";"3";"11";"8";"2";"4";"11";"8";"2";"4";"10";"9";"2";"4";"10";"9";"2";"0.027660";"0.031790";"0.049680";"0.049000";"42.474250";"Level_1.5"
"01:11:2009";"05:00:03";"305.208368";"N/A";"0.059805";"0.062802";"N/A";"0.055514";"0.073280";"N/A";"N/A";"N/A";"N/A";"0.075576";"0.082136";"N/A";"0.087049";"N/A";"N/A";"2.820430";"0.085000";"0.063200";"0.056300";"0.053200";"0.048300";"0.021800";"0.012600";"0.009100";"0.036700";"0.041400";"0.043700";"0.044100";"0.616797";"0.883400";"0.859500";"0.826700";"0.811600";"0.009909";"0.008872";"0.009751";"0.010014";"0.045152";"1.453500";"1.448700";"1.446000";"1.443800";"0.007151";"0.009063";"0.013660";"0.016125";"0.708552";"0.711499";"0.733451";"0.745991";"0.639067";"0.575591";"0.530978";"0.500039";"0.811960";"0.790042";"0.794721";"0.796294";"0.000323";"0.001980";"0.005351";"0.006806";"0.004941";"0.002903";"0.002068";"0.002271";"0.003580";"0.005916";"0.007929";"0.008922";"0.010524";"0.014586";"0.019363";"0.021478";"0.020935";"0.017870";"0.011794";"0.005217";"0.001415";"0.000228";"0.439000";"0.048000";"0.580000";"1.591000";"1.273000";"0.008000";"0.126000";"0.143000";"0.537000";"0.040000";"1.900000";"2.529000";"0.739000";"0.008000";"120.000000";"738.049520";"992.078990";"28.251430";"79.877640";"-18.270220";"-4.550950";"-256.427430";"-63.873880";"1315.991737";"1079.198439";"685.424120";"506.182358";"67.408805";"55.279585";"35.109355";"25.928087";"0.358517";"0.143568";"0.076074";"0.058117";"22/11/2010";"0";"43.692048";"2.848153";"0.006049";"0.467319";"0.082136";"98.996664";"1";"4";"10";"6";"3";"4";"10";"2";"2";"4";"10";"2";"1";"4";"10";"5";"1";"0.029590";"0.033080";"0.051110";"0.050000";"44.112250";"Level_1.5"
"01:11:2009";"06:10:42";"305.257431";"N/A";"0.054447";"0.057686";"N/A";"0.055288";"0.072629";"N/A";"N/A";"N/A";"N/A";"0.076196";"0.085086";"N/A";"0.091168";"N/A";"N/A";"2.571662";"0.084800";"0.061800";"0.055200";"0.052500";"0.045800";"0.018400";"0.009800";"0.006600";"0.039000";"0.043400";"0.045500";"0.046000";"0.644427";"0.887700";"0.897100";"0.903800";"0.906100";"0.009521";"0.006364";"0.005309";"0.004932";"0.870824";"1.422500";"1.404600";"1.399300";"1.394300";"0.005742";"0.005160";"0.005296";"0.005589";"0.724684";"0.730933";"0.745618";"0.756685";"0.646181";"0.575851";"0.521754";"0.484493";"0.826417";"0.800328";"0.794497";"0.795183";"0.000444";"0.002515";"0.006122";"0.007077";"0.005047";"0.003174";"0.002338";"0.002256";"0.002868";"0.004532";"0.007355";"0.010256";"0.012511";"0.015427";"0.020318";"0.025527";"0.028197";"0.024668";"0.015173";"0.005934";"0.001398";"0.000195";"0.439000";"0.055000";"0.610000";"1.743000";"1.264000";"0.008000";"0.121000";"0.138000";"0.528000";"0.047000";"2.087000";"2.723000";"0.704000";"0.008000";"120.000000";"474.276260";"674.480540";"30.224190";"79.333680";"-15.082040";"-5.947070";"-214.563980";"-84.605680";"896.099484";"734.859602";"466.726487";"344.675226";"68.948362";"56.542122";"35.911221";"26.520261";"0.487626";"0.210324";"0.115975";"0.089395";"22/11/2010";"1";"60.374963";"4.366562";"0.003576";"0.623112";"0.085086";"99.000000";"1";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"5";"4";"0.054810";"0.058140";"0.077210";"0.075510";"60.781500";"Level_1.5"
"01:11:2009";"06:55:26";"305.288495";"N/A";"0.057383";"0.060188";"N/A";"0.061883";"0.079577";"N/A";"N/A";"N/A";"N/A";"0.084937";"0.096574";"N/A";"0.104833";"N/A";"N/A";"2.565110";"0.097300";"0.064900";"0.059000";"0.056300";"0.055800";"0.018400";"0.010200";"0.006900";"0.041500";"0.046600";"0.048800";"0.049400";"0.758653";"0.901000";"0.906000";"0.898200";"0.896300";"0.009632";"0.006104";"0.006003";"0.005837";"0.732822";"1.443600";"1.396800";"1.406000";"1.401300";"0.005109";"0.004394";"0.005468";"0.006110";"0.670687";"0.718330";"0.736943";"0.752074";"0.571769";"0.520476";"0.482056";"0.456805";"0.815334";"0.798491";"0.789853";"0.791411";"0.002042";"0.008351";"0.012792";"0.009052";"0.004584";"0.002513";"0.001879";"0.002005";"0.002893";"0.005012";"0.008241";"0.011092";"0.013927";"0.017571";"0.021747";"0.024916";"0.026242";"0.024325";"0.017163";"0.007737";"0.002001";"0.000285";"0.439000";"0.061000";"0.415000";"1.437000";"1.451000";"0.012000";"0.098000";"0.109000";"0.520000";"0.049000";"2.053000";"2.706000";"0.726000";"0.008000";"120.000000";"283.116100";"443.757280";"29.087870";"75.217560";"-16.645830";"-7.252940";"-219.424440";"-95.607830";"579.665029";"475.362859";"301.914048";"222.962047";"66.145543";"54.243628";"34.451394";"25.442186";"0.652993";"0.303272";"0.172171";"0.132659";"22/11/2010";"1";"70.856327";"3.081944";"0.001649";"0.725686";"0.096574";"99.000000";"1";"4";"10";"7";"6";"4";"10";"7";"6";"4";"10";"7";"6";"4";"10";"6";"4";"0.093820";"0.096730";"0.116670";"0.114200";"71.267000";"Level_1.5"
"01:11:2009";"07:17:08";"305.303565";"N/A";"0.061884";"0.064529";"N/A";"0.068029";"0.086474";"N/A";"N/A";"N/A";"N/A";"0.092881";"0.106019";"N/A";"0.115803";"N/A";"N/A";"2.560361";"0.107700";"0.070100";"0.063800";"0.061400";"0.060800";"0.018400";"0.009700";"0.006500";"0.046900";"0.051800";"0.054100";"0.055000";"0.795235";"0.926100";"0.925000";"0.920900";"0.922100";"0.007963";"0.005254";"0.005046";"0.004785";"0.701776";"1.411700";"1.374900";"1.386200";"1.385000";"0.003012";"0.002789";"0.003366";"0.003636";"0.661237";"0.716459";"0.740008";"0.755834";"0.538987";"0.462289";"0.423386";"0.400946";"0.823667";"0.806725";"0.795418";"0.794970";"0.002943";"0.013727";"0.020578";"0.012632";"0.005305";"0.002492";"0.001705";"0.001740";"0.002412";"0.004165";"0.007833";"0.012504";"0.016343";"0.020520";"0.024172";"0.027140";"0.030713";"0.035538";"0.034267";"0.019533";"0.005056";"0.000539";"0.439000";"0.082000";"0.386000";"1.563000";"1.564000";"0.017000";"0.091000";"0.100000";"0.458000";"0.065000";"2.386000";"3.199000";"0.739000";"0.008000";"120.000000";"191.058510";"326.378260";"25.705750";"69.269920";"-15.979450";"-8.106120";"-193.945190";"-98.385340";"420.000942";"344.427968";"218.754243";"161.548937";"59.630715";"48.901047";"31.058197";"22.936326";"0.776564";"0.401355";"0.238899";"0.186369";"22/11/2010";"1";"75.902522";"3.560372";"0.000964";"0.752796";"0.106019";"99.000000";"1";"4";"10";"6";"5";"4";"10";"6";"5";"4";"10";"6";"5";"4";"10";"6";"6";"0.125840";"0.128250";"0.148620";"0.145490";"76.338000";"Level_1.5"
"01:11:2009";"22:14:38";"305.926829";"N/A";"0.075622";"0.077476";"N/A";"0.068731";"0.081766";"N/A";"N/A";"N/A";"N/A";"0.082188";"0.085040";"N/A";"0.085349";"N/A";"N/A";"2.603605";"0.091700";"0.079100";"0.075600";"0.074300";"0.034100";"0.016100";"0.008800";"0.006100";"0.057600";"0.063000";"0.066800";"0.068200";"0.290975";"0.982700";"0.986000";"0.988500";"0.989800";"0.001587";"0.001107";"0.000873";"0.000757";"0.880445";"1.459700";"1.457500";"1.449000";"1.446300";"0.000500";"0.000500";"0.000500";"0.000500";"0.736600";"0.723358";"0.728513";"0.732732";"0.661944";"0.603994";"0.557422";"0.522900";"0.779045";"0.753432";"0.750947";"0.751375";"0.000214";"0.000995";"0.002561";"0.003753";"0.003433";"0.002423";"0.001807";"0.001881";"0.002951";"0.005803";"0.010438";"0.014626";"0.018187";"0.024194";"0.033596";"0.042015";"0.041080";"0.028727";"0.013842";"0.004562";"0.001032";"0.000161";"0.439000";"0.070000";"1.023000";"2.084000";"0.964000";"0.005000";"0.138000";"0.159000";"0.547000";"0.065000";"2.024000";"2.543000";"0.653000";"0.008000";"120.000000";"609.645290";"831.091230";"29.695200";"83.787160";"-11.870390";"-8.929700";"-141.931980";"-106.770760";"1087.743755";"892.020313";"566.542923";"418.389176";"69.975328";"57.384300";"36.446109";"26.915273";"0.396116";"0.176486";"0.116042";"0.110005";"22/11/2010";"0";"53.433576";"4.162027";"0.005504";"0.193737";"0.085040";"71.484594";"1";"3";"10";"8";"4";"3";"10";"8";"4";"4";"10";"7";"4";"4";"10";"8";"1";"0.038920";"0.043170";"0.062580";"0.062110";"53.026500";"Level_1.5"
"02:11:2009";"05:00:01";"306.208345";"N/A";"0.065948";"0.069044";"N/A";"0.062352";"0.081239";"N/A";"N/A";"N/A";"N/A";"0.084083";"0.090723";"N/A";"0.095679";"N/A";"N/A";"2.282720";"0.091000";"0.069700";"0.062900";"0.060300";"0.043400";"0.017400";"0.008900";"0.006000";"0.047600";"0.052300";"0.054000";"0.054200";"0.553162";"0.887600";"0.892700";"0.906600";"0.911100";"0.010232";"0.007481";"0.005879";"0.005359";"0.811364";"1.381100";"1.370100";"1.362500";"1.359900";"0.004751";"0.004644";"0.004417";"0.004598";"0.755627";"0.760745";"0.773815";"0.781689";"0.664886";"0.581520";"0.520824";"0.480031";"0.844476";"0.823068";"0.816065";"0.814690";"0.000381";"0.002332";"0.006266";"0.007981";"0.005949";"0.003625";"0.002528";"0.002422";"0.003123";"0.004745";"0.007457";"0.010794";"0.014318";"0.018082";"0.023495";"0.031294";"0.040106";"0.043454";"0.032584";"0.013669";"0.002816";"0.000273";"0.439000";"0.075000";"0.756000";"2.197000";"1.218000";"0.009000";"0.124000";"0.140000";"0.516000";"0.066000";"2.423000";"3.187000";"0.698000";"0.008000";"120.000000";"750.799470";"993.807960";"28.719760";"80.650910";"-15.061600";"-4.859050";"-194.010390";"-62.590080";"1325.692888";"1087.154011";"690.476890";"509.913803";"68.112147";"55.856371";"35.475685";"26.198620";"0.367467";"0.156207";"0.090100";"0.072944";"22/11/2010";"0";"43.624661";"5.307170";"0.005604";"0.471418";"0.090723";"99.000000";"1";"4";"10";"8";"3";"4";"10";"8";"2";"4";"10";"7";"3";"4";"10";"8";"1";"0.029520";"0.032990";"0.051020";"0.049900";"44.045000";"Level_1.5"
"02:11:2009";"05:45:25";"306.239873";"N/A";"0.069382";"0.072012";"N/A";"0.067478";"0.085090";"N/A";"N/A";"N/A";"N/A";"0.088524";"0.096459";"N/A";"0.102115";"N/A";"N/A";"2.368106";"0.096400";"0.075300";"0.069100";"0.066500";"0.043500";"0.017200";"0.008900";"0.005900";"0.052900";"0.058100";"0.060200";"0.060600";"0.500115";"0.902600";"0.918700";"0.925200";"0.927900";"0.009389";"0.006123";"0.005170";"0.004796";"0.893086";"1.381200";"1.367200";"1.360800";"1.356500";"0.003648";"0.003233";"0.003376";"0.003555";"0.759056";"0.762706";"0.774493";"0.782869";"0.668838";"0.587620";"0.525725";"0.483812";"0.837085";"0.815892";"0.811354";"0.811641";"0.000396";"0.002301";"0.006031";"0.007687";"0.005883";"0.003733";"0.002664";"0.002506";"0.003155";"0.004971";"0.008355";"0.012450";"0.016142";"0.020478";"0.027676";"0.037924";"0.047080";"0.045240";"0.028716";"0.010643";"0.002151";"0.000232";"0.439000";"0.081000";"0.793000";"2.159000";"1.166000";"0.009000";"0.125000";"0.142000";"0.520000";"0.072000";"2.346000";"3.029000";"0.676000";"0.008000";"120.000000";"580.344930";"797.502170";"30.271340";"81.385740";"-15.397080";"-6.229860";"-185.396170";"-75.013690";"1061.026403";"870.110355";"552.627397";"408.112628";"69.761384";"57.208852";"36.334677";"26.832981";"0.442246";"0.199374";"0.120000";"0.098230";"22/11/2010";"0";"54.353665";"5.242984";"0.004361";"0.480401";"0.096459";"99.000000";"1";"4";"10";"8";"4";"4";"10";"8";"4";"4";"10";"8";"4";"4";"8";"6";"3";"0.043360";"0.046710";"0.065310";"0.063850";"54.771500";"Level_1.5"
"02:11:2009";"06:10:57";"306.257604";"N/A";"0.075706";"0.078687";"N/A";"0.075910";"0.093601";"N/A";"N/A";"N/A";"N/A";"0.097675";"0.106444";"N/A";"0.112723";"N/A";"N/A";"2.504936";"0.106400";"0.083200";"0.076600";"0.073800";"0.049200";"0.020000";"0.010600";"0.007200";"0.057300";"0.063200";"0.066000";"0.066600";"0.494052";"0.905200";"0.911800";"0.911600";"0.908900";"0.010089";"0.007341";"0.006772";"0.006721";"0.603551";"1.413300";"1.394100";"1.386700";"1.383000";"0.003674";"0.003627";"0.004355";"0.005011";"0.748057";"0.752686";"0.764633";"0.772725";"0.663112";"0.595491";"0.537991";"0.497202";"0.825366";"0.804460";"0.801711";"0.802471";"0.000520";"0.002487";"0.005741";"0.006965";"0.005524";"0.003828";"0.002920";"0.002744";"0.003419";"0.005672";"0.009751";"0.013416";"0.016655";"0.022465";"0.032801";"0.044141";"0.049822";"0.043257";"0.025774";"0.009564";"0.002088";"0.000263";"0.439000";"0.084000";"0.816000";"2.121000";"1.130000";"0.009000";"0.126000";"0.144000";"0.539000";"0.075000";"2.266000";"2.905000";"0.670000";"0.008000";"120.000000";"472.237480";"674.776050";"31.188660";"81.995170";"-18.576950";"-7.484630";"-202.420390";"-81.554860";"889.346742";"729.321916";"463.209373";"342.077855";"70.770305";"58.036232";"36.860166";"27.221052";"0.506943";"0.238635";"0.146955";"0.121105";"22/11/2010";"1";"60.365545";"4.764749";"0.003792";"0.484429";"0.106444";"99.000000";"1";"2";"10";"8";"5";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"8";"5";"0.057240";"0.060440";"0.079410";"0.077670";"60.783000";"Level_1.5"
