"Date(dd-mm-yyyy)";"Time(hh:mm:ss)";"Julian_Day";"AOT_1640";"AOT_1020";"AOT_870";"AOT_675";"AOT_667";"AOT_555";"AOT_551";"AOT_532";"AOT_531";"AOT_500";"AOT_490";"AOT_443";"AOT_440";"AOT_412";"AOT_380";"AOT_340";"Water(cm)";"AOTExt442-T";"AOTExt668-T";"AOTExt871-T";"AOTExt1018-T";"AOTExt442-F";"AOTExt668-F";"AOTExt871-F";"AOTExt1018-F";"AOTExt442-C";"AOTExt668-C";"AOTExt871-C";"AOTExt1018-C";"870-440AngstromParam.[AOTExt]-Total";"SSA442-T";"SSA668-T";"SSA871-T";"SSA1018-T";"AOTAbsp442-T";"AOTAbsp668-T";"AOTAbsp871-T";"AOTAbsp1018-T";"870-440AngstromParam.[AOTAbsp]";"REFR(442)";"REFR(668)";"REFR(871)";"REFR(1018)";"REFI(442)";"REFI(668)";"REFI(871)";"REFI(1018)";"ASYM442-T";"ASYM668-T";"ASYM871-T";"ASYM1018-T";"ASYM442-F";"ASYM668-F";"ASYM871-F";"ASYM1018-F";"ASYM442-C";"ASYM668-C";"ASYM871-C";"ASYM1018-C";"0.050000";"0.065604";"0.086077";"0.112939";"0.148184";"0.194429";"0.255105";"0.334716";"0.439173";"0.576227";"0.756052";"0.991996";"1.301571";"1.707757";"2.240702";"2.939966";"3.857452";"5.061260";"6.640745";"8.713145";"11.432287";"15.000000";"Inflection_Point[um]";"VolCon-T";"EffRad-T";"VolMedianRad-T";"StdDev-T";"VolCon-F";"EffRad-F";"VolMedianRad-F";"StdDev-F";"VolCon-C";"EffRad-C";"VolMedianRad-C";"StdDev-C";"Altitude(BOA)(km)";"Altitude(TOA)(km)";"DownwardFlux(BOA)";"DownwardFlux(TOA)";"UpwardFlux(BOA)";"UpwardFlux(TOA)";"RadiativeForcing(BOA)";"RadiativeForcing(TOA)";"ForcingEfficiency(BOA)";"ForcingEfficiency(TOA)";"DownwardFlux442-T";"DownwardFlux668-T";"DownwardFlux871-T";"DownwardFlux1018-T";"UpwardFlux442-T";"UpwardFlux668-T";"UpwardFlux871-T";"UpwardFlux1018-T";"DiffuseFlux442-T";"DiffuseFlux668-T";"DiffuseFlux871-T";"DiffuseFlux1018-T";"last_processing_date(mm/dd/yyyy)";"alm_type";"solar_zenith_angle_for_1020nm_scan";"sky_error";"sun_error";"alpha440-870";"tau440(measured)";"%sphericity";"if_level2_AOD";"scat_angle_440(>=3.2to6)";"scat_angle_440(>=6to30)";"scat_angle_440(>=30to80)";"scat_angle_440(>=80)";"scat_angle_675(>=3.2to6)";"scat_angle_675(>=6to30)";"scat_angle_675(>=30to80)";"scat_angle_675(>=80)";"scat_angle_870(>=3.2to6)";"scat_angle_870(>=6to30)";"scat_angle_870(>=30to80)";"scat_angle_870(>=80)";"scat_angle_1020(>=3.2to6)";"scat_angle_1020(>=6to30)";"scat_angle_1020(>=30to80)";"scat_angle_1020(>=80)";"albedo_440";"albedo_675";"albedo_870";"albedo-1020";"average_solar_zenith_angle_for_flux_calculation";"DATA_TYPE"
"03:11:2009";"05:00:00";"307.208333";"N/A";"0.077807";"0.080950";"N/A";"0.078571";"0.103935";"N/A";"N/A";"N/A";"N/A";"0.112196";"0.126128";"N/A";"0.136516";"N/A";"N/A";"2.469573";"0.125800";"0.086700";"0.077100";"0.073400";"0.069800";"0.024900";"0.013100";"0.008900";"0.056000";"0.061800";"0.064000";"0.064500";"0.737320";"0.815700";"0.851500";"0.871400";"0.880500";"0.023194";"0.012872";"0.009911";"0.008771";"1.268148";"1.397400";"1.372800";"1.373300";"1.373800";"0.012009";"0.007585";"0.006888";"0.006868";"0.718920";"0.741853";"0.759041";"0.768439";"0.617577";"0.535945";"0.482384";"0.448103";"0.867463";"0.829256";"0.815189";"0.810662";"0.001183";"0.006763";"0.014599";"0.013759";"0.008024";"0.004367";"0.002993";"0.002875";"0.003694";"0.005711";"0.009214";"0.013353";"0.017886";"0.023475";"0.031298";"0.039402";"0.043259";"0.038772";"0.025541";"0.010745";"0.002625";"0.000359";"0.439000";"0.087000";"0.501000";"1.643000";"1.375000";"0.015000";"0.109000";"0.121000";"0.502000";"0.072000";"2.217000";"2.871000";"0.691000";"0.008000";"120.000000";"739.446640";"995.322860";"28.187110";"81.579650";"-24.278970";"-5.983990";"-240.877160";"-59.368500";"1318.411482";"1081.182786";"686.684426";"507.113087";"67.904074";"55.685737";"35.367312";"26.118587";"0.393321";"0.170392";"0.101849";"0.083618";"22/11/2010";"0";"43.560581";"3.100379";"0.004968";"0.705278";"0.126128";"99.000000";"1";"4";"10";"8";"3";"4";"10";"8";"3";"4";"10";"5";"2";"2";"10";"6";"3";"0.029390";"0.032850";"0.050870";"0.049750";"43.981000";"Level_1.5"
"03:11:2009";"05:45:41";"307.240058";"N/A";"0.069553";"0.073148";"N/A";"0.073444";"0.097794";"N/A";"N/A";"N/A";"N/A";"0.106202";"0.120761";"N/A";"0.131327";"N/A";"N/A";"2.369854";"0.120700";"0.079600";"0.070100";"0.066600";"0.070400";"0.024100";"0.012200";"0.008100";"0.050300";"0.055600";"0.057900";"0.058500";"0.819010";"0.792700";"0.820700";"0.848700";"0.862600";"0.025013";"0.014275";"0.010611";"0.009150";"1.271917";"1.431000";"1.389200";"1.379400";"1.373600";"0.015349";"0.009510";"0.008369";"0.008060";"0.701859";"0.736462";"0.762240";"0.775922";"0.599879";"0.533553";"0.486993";"0.454751";"0.874337";"0.830541";"0.819692";"0.817873";"0.001424";"0.007304";"0.013927";"0.011698";"0.006455";"0.003632";"0.002684";"0.002669";"0.003336";"0.005056";"0.008448";"0.012764";"0.015277";"0.018052";"0.025498";"0.036025";"0.044888";"0.041887";"0.026080";"0.009947";"0.002216";"0.000284";"0.439000";"0.081000";"0.501000";"1.718000";"1.388000";"0.014000";"0.105000";"0.118000";"0.514000";"0.067000";"2.302000";"2.994000";"0.687000";"0.008000";"120.000000";"571.242620";"798.107420";"30.074040";"81.279980";"-24.994180";"-5.849130";"-265.388250";"-62.106120";"1053.164801";"863.663332";"548.532743";"405.088745";"69.649449";"57.117058";"36.276377";"26.789927";"0.461053";"0.199198";"0.114803";"0.091664";"22/11/2010";"1";"54.351128";"4.728236";"0.003735";"0.784350";"0.120761";"99.000000";"1";"4";"10";"8";"4";"4";"10";"8";"4";"2";"10";"8";"4";"4";"10";"7";"4";"0.043810";"0.047150";"0.065730";"0.064260";"54.760500";"Level_1.5"
"03:11:2009";"06:11:17";"307.257836";"N/A";"0.063525";"0.067401";"N/A";"0.069660";"0.093334";"N/A";"N/A";"N/A";"N/A";"0.101836";"0.116822";"N/A";"0.127540";"N/A";"N/A";"2.298081";"0.116300";"0.074800";"0.065600";"0.062000";"0.071700";"0.024700";"0.013300";"0.009200";"0.044700";"0.050100";"0.052300";"0.052800";"0.863613";"0.822300";"0.834500";"0.852800";"0.863600";"0.020678";"0.012384";"0.009657";"0.008454";"1.132482";"1.482200";"1.415400";"1.407100";"1.404600";"0.013527";"0.009500";"0.008957";"0.008825";"0.657309";"0.722392";"0.746103";"0.755494";"0.559058";"0.552130";"0.525562";"0.500116";"0.846985";"0.811928";"0.801513";"0.797547";"0.004854";"0.012241";"0.013196";"0.007781";"0.004022";"0.002704";"0.002620";"0.003133";"0.003977";"0.005539";"0.008256";"0.011312";"0.014200";"0.018729";"0.025356";"0.030501";"0.030459";"0.023987";"0.013977";"0.005648";"0.001521";"0.000269";"0.439000";"0.066000";"0.366000";"1.306000";"1.478000";"0.014000";"0.092000";"0.106000";"0.582000";"0.052000";"2.006000";"2.599000";"0.697000";"0.008000";"120.000000";"470.214840";"675.174000";"31.713910";"81.930190";"-23.391690";"-6.600950";"-261.397610";"-73.764380";"888.166475";"728.354021";"462.594641";"341.623878";"71.662007";"58.767486";"37.324602";"27.564036";"0.515819";"0.224310";"0.126788";"0.098658";"22/11/2010";"1";"60.374281";"3.779011";"0.002851";"0.851380";"0.116822";"99.000000";"1";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"7";"4";"0.058580";"0.061790";"0.080740";"0.078920";"60.783000";"Level_1.5"
"03:11:2009";"06:56:07";"307.288970";"N/A";"0.075354";"0.078519";"N/A";"0.082848";"0.103958";"N/A";"N/A";"N/A";"N/A";"0.111786";"0.126574";"N/A";"0.137307";"N/A";"N/A";"2.470011";"0.128100";"0.085500";"0.077200";"0.073900";"0.072400";"0.024300";"0.013600";"0.009400";"0.055700";"0.061200";"0.063600";"0.064500";"0.766774";"0.871500";"0.867900";"0.872500";"0.878700";"0.016463";"0.011296";"0.009842";"0.008966";"0.771645";"1.400500";"1.378100";"1.395200";"1.398400";"0.005927";"0.005572";"0.005942";"0.006230";"0.656030";"0.720242";"0.740647";"0.752581";"0.522304";"0.473381";"0.446622";"0.428529";"0.843732";"0.819087";"0.800753";"0.795678";"0.009406";"0.024991";"0.024922";"0.012423";"0.005208";"0.002806";"0.002272";"0.002557";"0.003450";"0.005255";"0.008680";"0.013831";"0.019428";"0.024613";"0.030227";"0.034214";"0.037744";"0.040604";"0.035539";"0.018792";"0.004840";"0.000561";"0.439000";"0.098000";"0.313000";"1.334000";"1.644000";"0.023000";"0.083000";"0.092000";"0.488000";"0.075000";"2.325000";"3.083000";"0.725000";"0.008000";"120.000000";"277.366440";"443.984890";"31.401920";"79.104820";"-23.540860";"-8.201230";"-235.580300";"-82.072090";"570.465431";"467.818592";"297.122508";"219.423518";"70.597953";"57.894893";"36.770398";"27.154759";"0.681109";"0.336704";"0.205435";"0.164884";"22/11/2010";"1";"70.859896";"3.796393";"0.001579";"0.724321";"0.126574";"99.000000";"1";"4";"10";"7";"6";"4";"10";"7";"6";"4";"10";"7";"6";"4";"10";"6";"4";"0.104580";"0.107180";"0.126900";"0.124140";"71.275750";"Level_1.5"
"03:11:2009";"07:17:45";"307.303993";"N/A";"0.077482";"0.080212";"N/A";"0.085056";"0.105149";"N/A";"N/A";"N/A";"N/A";"0.112637";"0.127341";"N/A";"0.138253";"N/A";"N/A";"2.500493";"0.130500";"0.087500";"0.080300";"0.077900";"0.067800";"0.019800";"0.010300";"0.007000";"0.062800";"0.067700";"0.070000";"0.070900";"0.737846";"0.920400";"0.914100";"0.916100";"0.919300";"0.010384";"0.007516";"0.006738";"0.006287";"0.650095";"1.384500";"1.354200";"1.367200";"1.374000";"0.002198";"0.002241";"0.002583";"0.002769";"0.676506";"0.743964";"0.766357";"0.775840";"0.509565";"0.431339";"0.396003";"0.375994";"0.852249";"0.833445";"0.818612";"0.812690";"0.006704";"0.024848";"0.029503";"0.015001";"0.005751";"0.002678";"0.001864";"0.001893";"0.002494";"0.003942";"0.007107";"0.012643";"0.018500";"0.022351";"0.023581";"0.027703";"0.044564";"0.086509";"0.122742";"0.075923";"0.014739";"0.000798";"0.439000";"0.150000";"0.463000";"2.395000";"1.572000";"0.024000";"0.085000";"0.092000";"0.436000";"0.126000";"3.393000";"4.503000";"0.672000";"0.008000";"120.000000";"188.667320";"326.596530";"28.319320";"73.035950";"-19.327590";"-8.824950";"-190.418670";"-86.944880";"415.312556";"340.583188";"216.312333";"159.745599";"64.459402";"52.860883";"33.573181";"24.793630";"0.797871";"0.437977";"0.280299";"0.229585";"22/11/2010";"0";"75.879544";"3.316275";"0.000617";"0.696406";"0.127341";"99.000000";"1";"4";"10";"6";"5";"4";"10";"6";"5";"1";"10";"6";"5";"1";"10";"6";"5";"0.142160";"0.143710";"0.163590";"0.160140";"76.340000";"Level_1.5"
"03:11:2009";"21:03:44";"307.877593";"N/A";"0.061532";"0.061980";"N/A";"0.058270";"0.067337";"N/A";"N/A";"N/A";"N/A";"0.069505";"0.072971";"N/A";"0.071896";"N/A";"N/A";"2.260356";"0.074600";"0.063000";"0.059800";"0.058500";"0.029900";"0.014500";"0.008600";"0.006100";"0.044700";"0.048600";"0.051200";"0.052300";"0.333215";"0.950300";"0.947500";"0.951900";"0.957300";"0.003704";"0.003308";"0.002876";"0.002498";"0.364022";"1.505500";"1.500700";"1.507800";"1.510600";"0.001716";"0.002145";"0.002331";"0.002281";"0.735187";"0.722775";"0.718670";"0.718164";"0.655948";"0.597251";"0.548282";"0.515321";"0.787793";"0.760675";"0.747556";"0.742190";"0.000158";"0.000663";"0.001703";"0.002698";"0.002745";"0.002051";"0.001495";"0.001466";"0.002203";"0.004268";"0.007575";"0.010544";"0.013208";"0.017445";"0.023797";"0.029861";"0.031433";"0.026029";"0.015501";"0.005979";"0.001392";"0.000191";"0.439000";"0.055000";"1.083000";"2.250000";"0.981000";"0.004000";"0.143000";"0.164000";"0.537000";"0.051000";"2.136000";"2.737000";"0.679000";"0.008000";"120.000000";"322.236280";"483.896430";"35.654860";"82.240030";"-12.867180";"-7.432570";"-190.895860";"-110.268740";"613.150525";"502.823134";"319.354710";"235.841890";"78.211807";"64.138746";"40.736015";"30.083347";"0.550204";"0.241602";"0.147393";"0.139777";"22/11/2010";"1";"69.928419";"4.788172";"0.002976";"0.277096";"0.072971";"37.592449";"1";"4";"9";"7";"6";"4";"9";"7";"5";"4";"7";"7";"4";"4";"9";"6";"3";"0.098260";"0.103950";"0.126700";"0.127380";"69.523750";"Level_1.5"
"03:11:2009";"21:48:27";"307.908646";"N/A";"0.066760";"0.068043";"N/A";"0.063152";"0.077360";"N/A";"N/A";"N/A";"N/A";"0.081582";"0.087767";"N/A";"0.089755";"N/A";"N/A";"2.406776";"0.089200";"0.070200";"0.065100";"0.063200";"0.040900";"0.017500";"0.009700";"0.006700";"0.048300";"0.052600";"0.055400";"0.056500";"0.474338";"0.934700";"0.928600";"0.929000";"0.939500";"0.005830";"0.005009";"0.004622";"0.003824";"0.344436";"1.460900";"1.449200";"1.453200";"1.456100";"0.002428";"0.003017";"0.003422";"0.003201";"0.743260";"0.734727";"0.736785";"0.737953";"0.665138";"0.584733";"0.519458";"0.477082";"0.810419";"0.786178";"0.775760";"0.769383";"0.000175";"0.000871";"0.002584";"0.004552";"0.004835";"0.003420";"0.002127";"0.001687";"0.002172";"0.004198";"0.008103";"0.011228";"0.013128";"0.018267";"0.027737";"0.037064";"0.040301";"0.033894";"0.019985";"0.007470";"0.001666";"0.000217";"0.439000";"0.067000";"0.975000";"2.242000";"1.047000";"0.006000";"0.139000";"0.156000";"0.489000";"0.061000";"2.272000";"2.889000";"0.661000";"0.008000";"120.000000";"507.987820";"711.259850";"32.455560";"83.257130";"-14.711020";"-7.215780";"-190.427200";"-93.404810";"920.426047";"754.808958";"479.396789";"354.032182";"74.157135";"60.813653";"38.624170";"28.523761";"0.438956";"0.184776";"0.112331";"0.104781";"22/11/2010";"0";"59.463469";"3.042885";"0.004083";"0.423826";"0.087767";"61.874210";"1";"1";"8";"7";"5";"3";"11";"7";"5";"3";"11";"7";"5";"3";"10";"8";"4";"0.053290";"0.058030";"0.078400";"0.078290";"59.057000";"Level_1.5"
"03:11:2009";"22:14:04";"307.926435";"N/A";"0.061312";"0.062898";"N/A";"0.056482";"0.072709";"N/A";"N/A";"N/A";"N/A";"0.076233";"0.082600";"N/A";"0.085225";"N/A";"N/A";"2.392774";"0.083700";"0.065600";"0.061500";"0.060200";"0.037500";"0.015500";"0.008500";"0.005800";"0.046200";"0.050100";"0.053000";"0.054400";"0.466147";"0.983200";"0.985100";"0.987300";"0.988700";"0.001408";"0.000980";"0.000781";"0.000681";"0.869518";"1.460000";"1.447800";"1.454800";"1.458300";"0.000500";"0.000500";"0.000500";"0.000500";"0.724199";"0.712418";"0.710719";"0.712987";"0.647396";"0.568788";"0.507105";"0.467929";"0.784016";"0.756073";"0.743071";"0.739114";"0.000199";"0.001063";"0.003055";"0.004801";"0.004413";"0.002821";"0.001719";"0.001413";"0.001914";"0.003851";"0.007656";"0.011500";"0.015346";"0.021846";"0.030714";"0.037842";"0.036804";"0.026091";"0.012912";"0.004387";"0.001019";"0.000162";"0.439000";"0.063000";"0.909000";"2.047000";"1.028000";"0.006000";"0.131000";"0.147000";"0.493000";"0.057000";"2.132000";"2.642000";"0.632000";"0.008000";"120.000000";"614.467320";"832.090340";"30.291950";"83.490160";"-10.670320";"-8.056240";"-147.937580";"-111.694980";"1089.523318";"893.479670";"567.469795";"419.073666";"71.054869";"58.269594";"37.008379";"27.330507";"0.388728";"0.159002";"0.096495";"0.090259";"22/11/2010";"1";"53.433913";"2.605748";"0.004463";"0.466628";"0.082600";"95.318721";"1";"3";"10";"8";"4";"3";"10";"8";"4";"4";"10";"8";"4";"4";"10";"8";"4";"0.039370";"0.043710";"0.063200";"0.062810";"53.018500";"Level_1.5"
"03:11:2009";"23:00:01";"307.958345";"N/A";"0.073231";"0.074764";"N/A";"0.066720";"0.085984";"N/A";"N/A";"N/A";"N/A";"0.089048";"0.096073";"N/A";"0.099365";"N/A";"N/A";"2.466012";"0.098700";"0.076500";"0.070700";"0.069200";"0.045000";"0.018900";"0.009900";"0.006700";"0.053700";"0.057600";"0.060800";"0.062500";"0.502700";"0.982400";"0.984100";"0.985600";"0.987200";"0.001737";"0.001215";"0.001017";"0.000888";"0.795800";"1.456600";"1.455100";"1.453500";"1.453000";"0.000500";"0.000500";"0.000536";"0.000538";"0.725225";"0.707887";"0.709787";"0.714715";"0.643001";"0.559383";"0.498817";"0.459327";"0.790939";"0.755901";"0.744047";"0.741850";"0.000268";"0.001481";"0.004144";"0.006090";"0.005252";"0.003315";"0.002067";"0.001668";"0.002021";"0.003649";"0.007972";"0.014436";"0.019031";"0.023702";"0.031512";"0.041443";"0.047121";"0.041144";"0.023908";"0.008466";"0.001763";"0.000213";"0.439000";"0.079000";"0.928000";"2.223000";"1.061000";"0.007000";"0.128000";"0.143000";"0.491000";"0.072000";"2.298000";"2.888000";"0.650000";"0.008000";"120.000000";"778.096160";"1025.285410";"28.079860";"83.873730";"-11.452050";"-8.485220";"-135.237640";"-100.202320";"1351.230446";"1108.096461";"703.777929";"519.736556";"68.595165";"56.252477";"35.727261";"26.384408";"0.344957";"0.144942";"0.090745";"0.084660";"22/11/2010";"0";"42.576849";"2.873810";"0.005504";"0.436195";"0.096073";"97.066244";"1";"2";"9";"4";"2";"4";"11";"2";"2";"4";"9";"2";"2";"4";"6";"1";"2";"0.026940";"0.030800";"0.049220";"0.048560";"42.163750";"Level_1.5"
"04:11:2009";"05:00:00";"308.208333";"N/A";"0.045518";"0.048066";"N/A";"0.042672";"0.064195";"N/A";"N/A";"N/A";"N/A";"0.069159";"0.078669";"N/A";"0.085832";"N/A";"N/A";"2.099341";"0.077300";"0.050600";"0.044200";"0.041700";"0.047100";"0.017100";"0.008900";"0.006000";"0.030300";"0.033600";"0.035200";"0.035800";"0.841538";"0.807100";"0.830100";"0.857000";"0.877100";"0.014916";"0.008599";"0.006314";"0.005129";"1.272724";"1.435200";"1.406700";"1.405600";"1.404100";"0.015120";"0.009681";"0.008441";"0.007561";"0.703781";"0.717823";"0.738083";"0.749463";"0.617901";"0.532672";"0.476123";"0.440814";"0.867025";"0.819850";"0.805158";"0.799428";"0.000520";"0.003076";"0.007376";"0.007996";"0.005136";"0.002799";"0.001779";"0.001581";"0.002023";"0.003365";"0.005740";"0.007781";"0.008628";"0.011068";"0.016906";"0.022703";"0.024729";"0.020183";"0.011508";"0.004370";"0.001081";"0.000173";"0.439000";"0.046000";"0.499000";"1.576000";"1.365000";"0.008000";"0.113000";"0.126000";"0.491000";"0.038000";"2.152000";"2.781000";"0.684000";"0.008000";"120.000000";"756.454640";"996.833310";"28.622270";"79.664600";"-15.560010";"-3.829700";"-258.494240";"-63.621720";"1330.404899";"1091.018164";"692.931104";"511.726228";"67.536504";"55.384307";"35.175866";"25.977205";"0.355625";"0.134477";"0.067370";"0.050261";"22/11/2010";"0";"43.499738";"3.411868";"0.004860";"0.825509";"0.078669";"99.000000";"1";"4";"10";"8";"3";"4";"10";"8";"3";"4";"10";"7";"2";"4";"10";"6";"2";"0.029070";"0.032530";"0.050550";"0.049420";"43.916750";"Level_1.5"
"04:11:2009";"05:45:57";"308.240243";"N/A";"0.045767";"0.048583";"N/A";"0.045190";"0.065627";"N/A";"N/A";"N/A";"N/A";"0.071055";"0.081412";"N/A";"0.088891";"N/A";"N/A";"2.169900";"0.080500";"0.051600";"0.045500";"0.043200";"0.049500";"0.017100";"0.009200";"0.006400";"0.031000";"0.034500";"0.036300";"0.036900";"0.861579";"0.829600";"0.850200";"0.864700";"0.875200";"0.013717";"0.007733";"0.006162";"0.005398";"1.197613";"1.466400";"1.419200";"1.422500";"1.424000";"0.012896";"0.008382";"0.008004";"0.007854";"0.682449";"0.713196";"0.731456";"0.741014";"0.594316";"0.532884";"0.486335";"0.455700";"0.852766";"0.809323";"0.794933";"0.789199";"0.000975";"0.004447";"0.008208";"0.007189";"0.004250";"0.002449";"0.001738";"0.001661";"0.002166";"0.003576";"0.005872";"0.007531";"0.008743";"0.012573";"0.019462";"0.024328";"0.023706";"0.017437";"0.009398";"0.003604";"0.000965";"0.000179";"0.439000";"0.046000";"0.463000";"1.482000";"1.372000";"0.009000";"0.106000";"0.119000";"0.519000";"0.038000";"2.079000";"2.653000";"0.671000";"0.008000";"120.000000";"583.547090";"798.413450";"31.001950";"80.645190";"-15.858350";"-4.727730";"-256.638690";"-76.509750";"1062.541388";"871.352741";"553.416466";"408.695351";"70.428996";"57.756337";"36.682398";"27.089771";"0.427133";"0.166628";"0.084793";"0.062851";"22/11/2010";"1";"54.347329";"2.371926";"0.003800";"0.840237";"0.081412";"99.000000";"1";"4";"10";"8";"4";"4";"10";"8";"4";"4";"10";"8";"4";"4";"10";"6";"3";"0.044340";"0.047630";"0.066180";"0.064650";"54.763250";"Level_1.5"
"04:11:2009";"06:11:34";"308.258032";"N/A";"0.043447";"0.046328";"N/A";"0.044630";"0.064308";"N/A";"N/A";"N/A";"N/A";"0.069906";"0.080822";"N/A";"0.088589";"N/A";"N/A";"2.141793";"0.080100";"0.050000";"0.043600";"0.041000";"0.051200";"0.017700";"0.009700";"0.006700";"0.029000";"0.032300";"0.033900";"0.034400";"0.917861";"0.814900";"0.831800";"0.847400";"0.862800";"0.014827";"0.008407";"0.006658";"0.005626";"1.197018";"1.464700";"1.419900";"1.426400";"1.425800";"0.014944";"0.009641";"0.009184";"0.008685";"0.667133";"0.706361";"0.726911";"0.738864";"0.578172";"0.524126";"0.484210";"0.457398";"0.858705";"0.813757";"0.797288";"0.791402";"0.001459";"0.006072";"0.009727";"0.007307";"0.003924";"0.002258";"0.001709";"0.001735";"0.002263";"0.003518";"0.005470";"0.007037";"0.008042";"0.011191";"0.017048";"0.021494";"0.021876";"0.017678";"0.010552";"0.004292";"0.001135";"0.000192";"0.439000";"0.045000";"0.401000";"1.387000";"1.462000";"0.010000";"0.100000";"0.113000";"0.524000";"0.035000";"2.107000";"2.733000";"0.692000";"0.008000";"120.000000";"480.181200";"675.569030";"33.185050";"80.955800";"-16.415280";"-4.637470";"-270.964500";"-76.550040";"897.053810";"735.642211";"467.223540";"345.042297";"73.523191";"60.293777";"38.293986";"28.279921";"0.483196";"0.191695";"0.095462";"0.068919";"22/11/2010";"1";"60.369800";"2.812682";"0.003230";"0.889200";"0.080822";"99.000000";"1";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"8";"5";"3";"10";"6";"3";"0.060330";"0.063460";"0.082300";"0.080440";"60.780500";"Level_1.5"
