"SOURCE";"CAST_ID";"NODC_CRUISE_ID";"ORIGINATOR_CRUISE_ID";"ORIGINATOR_STATION_ID";"LATITUDE";"LONGITUDE";"TIME";"DATASET";"DEPTH_MIN";"DEPTH_MAX";"TEMPERATURE_BOOL";"SALINITY_BOOL"
"APB";"12999307";"US-30126";"Q9900181";"7185296";"-44.4833";"122.8667";"2009-06-06T01:10:24Z";"WOD2013";"0";"850";"1";"1"
"APB";"12999354";"US-30126";"Q9900181";"7172529";"-44.2000";"122.8500";"2009-06-06T13:30:00Z";"WOD2013";"0";"475";"1";"1"
"APB";"12999395";"US-30126";"Q9900181";"7172530";"-44.1167";"122.9500";"2009-06-06T21:10:24Z";"WOD2013";"0";"800";"1";"1"
"APB";"12999407";"US-30126";"Q9900181";"7172531";"-44.1500";"122.8667";"2009-06-07T01:40:24Z";"WOD2013";"0";"275";"1";"1"
"APB";"12999430";"US-30126";"Q9900181";"7197537";"-44.0833";"122.8667";"2009-06-07T06:30:00Z";"WOD2013";"0";"275";"1";"1"
"APB";"12999607";"US-30126";"Q9900181";"7172525";"-43.4833";"123.6833";"2009-06-08T23:50:36Z";"WOD2013";"0";"275";"1";"1"
"APB";"12999631";"US-30126";"Q9900181";"7217148";"-43.4333";"123.6833";"2009-06-09T06:20:36Z";"WOD2013";"0";"950";"1";"1"
"APB";"12999667";"US-30126";"Q9900181";"7185292";"-43.3000";"123.9167";"2009-06-09T14:00:00Z";"WOD2013";"0";"700";"1";"1"
"APB";"12999793";"US-30126";"Q9900181";"7197529";"-42.7000";"124.2000";"2009-06-10T23:00:00Z";"WOD2013";"0";"900";"1";"1"
"APB";"12999799";"US-30126";"Q9900181";"7197530";"-42.6667";"124.1833";"2009-06-11T01:20:36Z";"WOD2013";"0";"1200";"1";"1"
"APB";"12999847";"US-30126";"Q9900181";"7217144";"-42.4167";"124.1667";"2009-06-11T13:20:36Z";"WOD2013";"0";"475";"1";"1"
"APB";"12999877";"US-30126";"Q9900181";"7197535";"-42.2667";"124.0000";"2009-06-11T20:10:24Z";"WOD2013";"0";"275";"1";"1"
"APB";"12999914";"US-30126";"Q9900181";"7217145";"-42.0333";"124.0167";"2009-06-12T06:20:36Z";"WOD2013";"0";"1050";"1";"1"
"APB";"12999953";"US-30126";"Q9900181";"7235044";"-41.8667";"124.0333";"2009-06-12T14:00:00Z";"WOD2013";"0";"275";"1";"1"
"APB";"13000019";"US-30126";"Q9900181";"7259606";"-41.5333";"124.2833";"2009-06-13T07:20:36Z";"WOD2013";"0";"1050";"1";"1"
"APB";"13000055";"US-30126";"Q9900181";"7235045";"-41.3833";"124.4000";"2009-06-13T14:40:24Z";"WOD2013";"0";"275";"1";"1"
"APB";"13000085";"US-30126";"Q9900181";"7416333";"-41.2667";"124.6000";"2009-06-13T22:40:24Z";"WOD2013";"0";"900";"1";"1"
"APB";"13000092";"US-30126";"Q9900181";"7242121";"-41.6500";"124.1667";"2009-06-13T00:00:00Z";"WOD2013";"0";"900";"1";"1"
"APB";"13000153";"US-30126";"Q9900181";"7217141";"-41.1167";"125.0833";"2009-06-14T14:10:24Z";"WOD2013";"0";"750";"1";"1"
"APB";"13000275";"US-30126";"Q9900181";"7235043";"-41.3833";"125.6833";"2009-06-15T23:20:36Z";"WOD2013";"0";"1000";"1";"1"
"APB";"13000330";"US-30126";"Q9900181";"7217142";"-41.4167";"125.9500";"2009-06-16T12:40:24Z";"WOD2013";"0";"1000";"1";"1"
"APB";"13000367";"US-30126";"Q9900181";"7262163";"-41.4167";"126.1167";"2009-06-17T00:20:36Z";"WOD2013";"0";"900";"1";"1"
"APB";"13000469";"US-30126";"Q9900181";"7273817";"-41.7500";"126.6500";"2009-06-18T03:00:00Z";"WOD2013";"0";"95";"1";"1"
"APB";"13000478";"US-30126";"Q9900181";"7242115";"-41.7500";"126.5500";"2009-06-18T07:20:36Z";"WOD2013";"0";"95";"1";"1"
"APB";"13000545";"US-30126";"Q9900181";"7242116";"-41.9000";"126.5667";"2009-06-18T23:20:36Z";"WOD2013";"0";"275";"1";"1"
"APB";"13000664";"US-30126";"Q9900181";"7242117";"-41.9000";"126.5667";"2009-06-20T07:20:36Z";"WOD2013";"0";"275";"1";"1"
"APB";"13000760";"US-30126";"Q9900181";"7262161";"-42.6500";"126.5333";"2009-06-21T05:00:00Z";"WOD2013";"0";"900";"1";"1"
"APB";"13000765";"US-30126";"Q9900181";"7305512";"-42.6500";"126.5167";"2009-06-21T07:10:24Z";"WOD2013";"0";"700";"1";"1"
"APB";"13000785";"US-30126";"Q9900181";"7286763";"-42.5667";"126.4333";"2009-06-21T13:50:36Z";"WOD2013";"0";"475";"1";"1"
"APB";"13000837";"US-30126";"Q9900181";"7262162";"-42.7000";"126.4167";"2009-06-22T01:40:24Z";"WOD2013";"0";"1000";"1";"1"
"APB";"13000861";"US-30126";"Q9900181";"7273814";"-42.7667";"126.4167";"2009-06-22T07:00:00Z";"WOD2013";"0";"900";"1";"1"
"APB";"13000982";"US-30126";"Q9900181";"7273815";"-42.9167";"126.7167";"2009-06-23T13:20:36Z";"WOD2013";"0";"275";"1";"1"
"APB";"13001026";"US-30126";"Q9900181";"7286764";"-42.8833";"126.9000";"2009-06-23T23:50:36Z";"WOD2013";"0";"800";"1";"1"
"APB";"13001031";"US-30126";"Q9900181";"7273816";"-42.8833";"126.9333";"2009-06-24T01:40:24Z";"WOD2013";"0";"275";"1";"1"
"APB";"13001056";"US-30126";"Q9900181";"7305513";"-42.8167";"126.8167";"2009-06-24T07:20:36Z";"WOD2013";"0";"275";"1";"1"
"APB";"13001083";"US-30126";"Q9900181";"7286765";"-42.8667";"126.8833";"2009-06-24T13:30:00Z";"WOD2013";"0";"475";"1";"1"
"APB";"13001218";"US-30126";"Q9900181";"7305504";"-42.9667";"127.8667";"2009-06-25T21:30:00Z";"WOD2013";"0";"800";"1";"1"
"APB";"13001225";"US-30126";"Q9900181";"7305505";"-43.0000";"127.9333";"2009-06-26T00:20:36Z";"WOD2013";"0";"900";"1";"1"
"APB";"13001249";"US-30126";"Q9900181";"7305491";"-43.0500";"128.0833";"2009-06-26T06:30:00Z";"WOD2013";"0";"95";"1";"1"
"APB";"13001275";"US-30126";"Q9900181";"7305492";"-43.0333";"128.2500";"2009-06-26T13:20:36Z";"WOD2013";"0";"475";"1";"1"
"APB";"13001320";"US-30126";"Q9900181";"7305493";"-43.2000";"128.3333";"2009-06-27T01:40:24Z";"WOD2013";"0";"800";"1";"1"
"APB";"13001342";"US-30126";"Q9900181";"7305494";"-43.2500";"128.3500";"2009-06-27T07:20:36Z";"WOD2013";"0";"800";"1";"1"
"APB";"13001373";"US-30126";"Q9900181";"7305495";"-43.3167";"128.3500";"2009-06-27T13:20:36Z";"WOD2013";"0";"700";"1";"1"
"APB";"13001505";"US-30126";"Q9900181";"7305496";"-43.5500";"128.1500";"2009-06-28T21:40:24Z";"WOD2013";"0";"275";"1";"1"
"APB";"13001583";"US-30126";"Q9900181";"7323425";"-43.8167";"128.2500";"2009-06-29T19:50:36Z";"WOD2013";"0";"700";"1";"1"
"APB";"13001606";"US-30126";"Q9900181";"7323426";"-43.8667";"128.1000";"2009-06-30T01:30:00Z";"WOD2013";"0";"275";"1";"1"
"APB";"13001655";"US-30126";"Q9900181";"7323429";"-43.8167";"128.0000";"2009-06-30T13:10:24Z";"WOD2013";"0";"475";"1";"1"
"APB";"13001702";"US-30126";"Q9900181";"7331968";"-43.8833";"128.0833";"2009-07-01T01:40:24Z";"WOD2013";"0";"700";"1";"1"
"APB";"13001743";"US-30126";"Q9900181";"7362653";"-43.9667";"128.2000";"2009-07-01T13:20:36Z";"WOD2013";"0";"275";"1";"1"
